职位名,公司,薪资,城市,区域,商圈,详细地址,经验,学历,职位标签,福利,岗位描述,HR 名称,HR 职位,活跃时间,职位链接,筛选状态,筛选原因,采集错误
Python数据分析兼职,上海阿普弗洛网络科技,1500-3000元/月,杭州,滨江区,长河,杭州滨江区保和中心-A座415,经验不限,本科,Pandas、MySQL、Linux开发/部署经验、Numpy、Python,,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2025-12-29
Python数据分析兼职
>>>必须会Python，不会勿投<<<

岗位介绍:
>>兼职。通过公司平台提供的标准化数据，算力和 API框架，使用 Python 进行在线数据挖掘相关的工作，数据挖掘的结果通过平台的测试完成提交后即可获取报酬。
>>无需坐班远程即可完成，不影响本职工作。
>>签署正式兼职合同，岗位长期有效，回款有保障
>>如果您当前在金融机构任职则不符合资格。

薪资报酬：
不用爬数据，不是接单。无最低任务量，前期需要花时间学习，且有背调审核期，通过审核后认真完成的兼职人员平均第一季度在 500-1,000/月，随着数量与质量的提升之后平均会到4,700-13,000/月（个体差异较大，实际情况是高的更高，低的更低）。
1.基础薪资:根据提交的数量和质量，每日薪资为 10-800 元不等
2.季度薪资:每个季度有 22 天成功提交，可以获得 700-56,000元不等的季度奖金
3.竞赛奖金:参加平台内定期举办的各类竞赛，可以获得额外的比赛奖金，奖金通常在几千元-几万元不等

任职资格:
1.必须会Python，尤其是数据相关的经验
2.目前不在金融机构任职
3.有金融相关知识加分，但非必须:有一定英语基础加分，但非必须
4.对量化感兴趣者和在校大学生优先",郭先生,人事主管,本周活跃,https://www.zhipin.com/job_detail/0226dde6c23d1d8903B83t21EVVR.html,通过,通过,
后端开发（Python）,杭州纳科思智能科技,15-25K,杭州,余杭区,仓前,杭州余杭区Efc写字楼(欧美金融城)T2英国中心808室,1-3年,大专,Python、Django、PostgreSQL,,"岗位职责：		
        负责电商+ERP系统（Web）的后端开发	
        熟悉国内外常见电商网站技术栈	
        根据产品文档进行系统数据库、业务逻辑、API设计	
        为接口开发单元测试用例	
        在保证性能的同时，保持系统健壮、安全和稳定	
任职要求：		
        算法、编程基础扎实，熟悉主流开源技术	
        精通Python语言、Django框架	
        熟悉PostgreSQL数据库，会写Raw SQL	
        精通Restful API规范	
        了解OSI网络和HTTP原理	
        熟悉Linux基础操作	
        有微服务模式开发经验，懂容器化	
        熟悉gitlab的高级操作和敏捷开发模式	
        会写单元测试和CI/CD	
        熟悉Cursor等AI开发工具，会用AI提升开发效率",高磊,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/f2cd04a834d9a02a031y3ti1GVVR.html,通过,通过,
软件开发工程师（远程工作）,杭州沐晖科技有限公司,150-200元/时,杭州,滨江区,长河,杭州滨江区星耀中心·悦CASA7楼,经验不限,本科,Java、C++、Scrapy、C、留学生优先、Docker、Django、MySQL、远程工作 兼职 工程师、国内院校优先、PHP、Tornado、Python、Flask,五险一金、带薪年假、加班补助、保底工资、绩效奖金、节日福利、团建聚餐、餐补、底薪加提成,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
⼯作时段：不限
结算⽅式：⽉结
招聘截止时间：2027-12-01
我们正在招聘一名远程⼯程师，参与AI数据生产相关项目。适合希望深入参与 AI模型训练数据体系（如多模态数据、Agent轨迹、评测数据） 的工程背景同学。

岗位职责
参与AI数据生产流程（data pipeline）的设计与实现
对多模态数据（文本 / 图像 / 视频 / 行为轨迹等）进行清洗、结构化与格式转换
编写自动化脚本，提高数据处理效率与稳定性
参与数据schema设计（字段定义、结构规范等）
支持数据整理、组织与交付（如JSON、结构化数据集）
与PM及数据团队协作，保障数据质量满足模型训练或评测要求
持续优化数据处理流程（性能、稳定性、可扩展性）
任职要求
国内重点高校（985 / 211）计算机或相关专业
硕士 / 博士在读优先
扎实的编程基础，熟练使用 Python
熟悉常见数据格式（JSON / CSV）及数据处理方法
有数据处理、数据工程或相关项目经验
熟悉 Linux 基本操作
具备良好的代码习惯和工程意识
具备较强的学习能力和责任心，能适应远程协作",党女士,招聘者,3日内活跃,https://www.zhipin.com/job_detail/c171b0be70a879eb0nZy0t-9E1tV.html,通过,通过,
Python后端开发工程师（可居家/远程）,上海博锐索路森科技,8000-8500元/月,杭州,萧山区,钱江世纪城,杭州萧山区山水置业2幢,3-5年,本科,PDF、微服务经验、Typst、Django、PostgreSQL、Pandas、Linux开发/部署经验、Python,,"工作周期：3个月
每周工期：2-3天
工作时间：不限
⼯作时段：⼯作⽇
结算方式：月结
招聘截⽌时间：2026-03-05
你将负责开发欧洲跨境电商ERP系统的发票生成模块：
通过Python调用内部ERP系统API获取订单数据，根据团队已整理好的欧洲发票格式规范与多语言文案，结合Typst排版引擎，生成英语、德语、波兰语等多语言形式发票。
要求代码模块化、高效、易读、易维护。

【任职要求】
* 3年以上Python后端开发经验；对Django有一定了解
* 熟悉RESTful API调用与OAuth2认证流程
* 熟练掌握OOP，能编写结构清晰、注释规范、可维护的模块化代码
* 有PDF/文档生成相关开发经验者优先（如Typst、ReportLab、WeasyPrint等）
* 基本的英语读写能力（需阅读技术文档）
* 有PostgreSQL或MySQL使用经验；会熟练使用Git版本管理

【团队情况】
你将配合一个3人的ERP前后端开发团队，远程协作完成发票模块的开发工作。团队采用敏捷开发模式，使用GitHub进行代码管理。

【工作安排与待遇】
本岗位为项目制兼职，首期合作周期3-6个月，后续可根据项目需求与个人意愿协商续约。工作时间为每日半天或每周集中2-3天，可根据个人情况灵活安排，2025年1月可入职，欢迎尽快到岗。

工作地点支持全程远程，亦可选择至本公司位于上海金桥的办公室现场办公。入职后将缴纳上海社保，薪酬结算方式（月结/周结）按应聘者需求安排。",H先生,项目经理,3月内活跃,https://www.zhipin.com/job_detail/366b0c53b1a92c930nR83dS5EFBR.html,已过滤,"活跃度过滤: 不活跃, [3月内活跃]",
后端⼯程师（Python应⽤开发⽅向）可远程,某人工智能公司,30-60K·16薪,杭州,,,杭州余杭区中国(杭州)人工智能小镇1,3-5年,本科,Python、SQL、Socket技术、分布式技术、网络协议、消息队列、React、Django,绩效奖金、免费工装、工龄奖、补充医疗保险、五险一金、股票期权、定期体检、带薪年假、年终奖,"岗位职责：
• 参与公司智能硬件产品的 Python 应⽤与后端服务开发，⽀持 AI 模型在边缘设备和云端的集成与落
地；
• 基于公司⾃研 AI 模型与推理引擎，开发业务逻辑层、数据接⼝及设备通信模块；
• 使⽤ FastAPI / Flask 等框架设计并实现 RESTful API 或 WebSocket 服务，⽀持前端与设备间的⾼
效交互；
• 参与设备端 Python 应⽤开发（如 RK系列芯⽚、Raspberry Pi、Jetson、ESP32 MicroPython
等），实现传感器数据采集、边缘推理与云同步；
• 编写⾼质量、模块化的 Python 代码，遵循良好的命名与结构规范，持续优化代码可读性与运⾏性
能；
• 协助进⾏数据库（PostgreSQL / SQLite）设计与接⼝开发，⽀持智能硬件数据管理与⽇志记录；
• 参与单元测试、集成测试与调试⼯作，确保系统稳定可靠运⾏；
• 学习与探索 AI 模型部署、硬件交互、嵌⼊式 Python ⽣态等新技术，⽀持产品创新与快速迭代。
任职要求：
• 本科及以上学历，计算机、电⼦信息、⾃动化或相关专业优先；
• 具备扎实的 Python 编程基础，熟悉常⽤标准库与⾯向对象编程思想；
• 了解常⻅后端框架（如 FastAPI、Flask、Django 等），能独⽴实现基础接⼝开发；
• 了解数据库设计与基本 SQL 操作，熟悉 ORM 框架（如 SQLAlchemy、Tortoise ORM 等）者优
先；
• 熟悉 Linux 开发环境与常⽤命令⾏⼯具，能进⾏基本的部署与调试⼯作；
• 具备良好的学习能⼒与⾃驱⼒，对 AI 应⽤、智能硬件开发有强烈兴趣；
• 具备团队协作与⽂档编写能⼒，能与算法、硬件、前端等多团队⾼效协作。
加分项：
• 有智能硬件开发经验（如树莓派、Jetson Nano、ESP32 等），熟悉 GPIO / I2C / UART 等硬件接
⼝编程；
• 有边缘推理或轻量化 AI 模型部署经验（如 TensorRT、OpenVINO、ONNX Runtime 等）；
• 熟悉嵌⼊式 Python 环境（MicroPython / CircuitPython）或 C 扩展模块开发；
• 熟悉消息队列或缓存系统（Kafka、Redis 等）及其在 IoT 系统中的应⽤；
• 了解前端技术（如 React、Next.js）或移动端应⽤，有全栈开发潜⼒；
• 对 AI Agent、RAG、LangChain 或 AutoGen 等新型 AI 框架有了解或实践经验者优先。",张瀚心,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/609fee168eb87a0803x809y-ElJS.html,通过,通过,
python爬虫工程师,杭州万悉科技,12-20K,杭州,拱墅区,拱宸桥,杭州拱墅区顺丰创新中心4号楼1208房,3-5年,本科,,带薪年假、五险一金、AI学习补贴、团建聚餐,"职位概述：
正在寻找一名爬虫开发工程师，加入我们的技术团队。作为爬⾍开发⼯程师，您将负责设计、开发和维护爬⾍系统，抓取AI平台和其他外部平台的回答数据。您需要通过爬虫技术从AI平台提取高质量的答案，并将其整理和存储到我们的数据库，以便后续的数据分析和使⽤。

主要职责：
•	设计和开发爬虫，抓取AI平台（如ChatGPT、Perplexity等）以及其他相关平台的回答内容。
•	爬取并解析目标网站的HTML结构，提取需要的数据（如答案、标题、关键词等）。
•	处理反爬虫机制，确保爬虫的高效运行并避免被封禁。
•	对爬取的数据进行清洗和结构化，以便存储到数据库中，支持后续分析。
•	维护和优化爬虫系统，确保数据的实时性和准确性。
•	与数据工程师和AI团队合作，确保抓取的数据可以有效支持平台的智能化服务。
•	编写详细的文档，记录爬虫的使用方式、开发过程和维护方法。

基本要求：
•	本科及以上学历，计算机科学、软件工程等相关专业。
•	熟练掌握Python编程语言，了解爬虫框架（如Scrapy、BeautifulSoup、Selenium等）。
•	熟悉网络协议（HTTP、HTTPS等），有处理反爬虫机制的经验。
•	具备Web抓取、数据清洗和存储的实际经验。
•	熟悉数据库（如MySQL、MongoDB等）和数据存储技术，能够设计合适的存储方案。
•	良好的问题解决能力，能够处理大规模数据抓取和并发问题。
•	具有AI平台抓取经验（例如OpenAI、Google等）者优先。
•	良好的沟通能力和团队合作精神，能够与跨部门团队紧密合作。

优先考虑：
•	有大规模爬取经验，能够处理高并发、高频率的数据抓取任务。
•	有AI平台数据抓取和自然语言处理相关经验者优先。",帅鑫,CTO,今日活跃,https://www.zhipin.com/job_detail/f92e70550a19ca7e03172Ny6FlRW.html,通过,通过,
Python（RAG大模型）,人瑞网络科技,15-20K,杭州,滨江区,浦沿,杭州滨江区中控科技园1,3-5年,本科,深度学习、大模型算法、自然语言处理算法、RAG项目、Python,有无线网、五险一金、节日福利、零食下午茶、带薪年假,"岗位职责
负责 AI 应用系统的后端架构设计、核心模块开发与性能优化，主导 AI 服务从需求分析、方案设计、开发上线到运维迭代的全生命周期落地。
基于⼤模型能⼒进⾏工程化落地，负责 RAG、Prompt 工程、模型服务调⽤与编排等相关工程实现与稳定性保障。
负责系统数据库设计、接口设计、服务拆分与治理，保障服务高可用、高并发、低延迟。
参与分布式系统架构设计与优化，解决服务扩容、异步处理、缓存策略、数据一致性等关键工程问题。
与产品、前端、算法团队协同，将算法能力与模型能力工程化、产品化、规模化，保证系统可维护、可扩展、可监控。
制定代码规范、研发流程与质量标准，负责代码评审、技术方案评审，提升整体工程质量与研发效率。
任职要求
本科及以上学历，计算机、软件工程、电子信息等相关专业，5 年及以上后端 / 服务端开发经验。
精通 Python 或 Java至少一种主流后端语言，具备扎实的数据结构、算法、操作系统、计算机网络基础。
熟练掌握 MySQL/PostgreSQL 等关系型数据库，具备数据库设计、索引优化、SQL 调优能力；了解 Redis、MongoDB 等缓存 / NoSQL 优先。
熟悉大模型应用工程化实践，了解RAG、Prompt 工程、模型微调 / 部署、向量数据库等优先。
具备分布式系统、高并发系统设计与开发经验，熟悉微服务、消息队列、服务治理、容器化（Docker/K8s）优先。
具备独立负责系统架构与技术方案的能力，能从工程视角做技术选型、风险评估与落地推进。
有强烈的工程化思维与产品意识，注重代码质量、系统稳定性与研发效率，不偏重纯算法研究	招聘人员的基本画像：具备5年以上经验的AI后端工程师，精通Python/Java与数据库设计，具备扎实的软件工程与系统架构能力，熟悉大模型应用（RAG、Prompt工程等），能够独立完成AI系统从需求分析、架构设计到交付运维的全生命周期，并具备分布式与高并发系统经验者优先。

之前的简历很多偏算法层面了，更想要偏工程方面的",胡女士,招聘主管,刚刚活跃,https://www.zhipin.com/job_detail/acf6ff0dc840f0010ndy0968GFVW.html,通过,通过,
python交易系统开发,添之投资,15-25K,杭州,萧山区,钱江世纪城,杭州萧山区左右世界2幢3603,3-5年,本科,,,"岗位职责
1、与量化研究员合作，将数学/统计模型（如预测模型、信号生成算法）转化为高性能、稳定的python生产代码，解决实现中的问题。
2、参与量化交易系统的设计、开发和维护，提高系统性能，优化策略执⾏效率。
3、负责公司因⼦计算、回测系统、实盘⽣产相关的系统开发及维护； 
4、协助策略部门开发创造、构建量化策略/模型；
二、任职要求
1.学历与经验要求：国内外重点院校本科及以上学历，金融⼯程、数学、物理、计算机等相关专业，金融行业工作3年以上；
2、技术能力
1、熟练掌握 Python 编程语言，熟悉其核心语法和特性，熟悉常见的 Python开发框架。
2、数据分析能力
熟悉数据分析库，如Pandas、NumPy 等库进行数据处理和分析。
能够进行数据清洗、数据预处理和数据可视化。
3、问题解决能力
具备较强的问题分析和解决能力，能够快速定位并解决技术难题。
工作时间：周一至周五，9:00-

18:00  周末双休 法定节假日正常放

福利：
1、全额缴纳五险一金；
2、享受带薪婚假、护理假、丧假、育儿假等
3、每年身体体检
4、生日礼物、节日福利",张先生,人事经理,刚刚活跃,https://www.zhipin.com/job_detail/1c4ffc666a5f1e410ndz396_GFpX.html,通过,通过,
python爬虫工程师,闪电签,20-40K,杭州,西湖区,西溪,杭州西湖区云谷福地中心南楼5楼503室,3-5年,本科,爬虫、python、机票、go、航司,生日福利、餐补、保底工资、团建聚餐、节日福利、底薪加提成、员工旅游、股票期权、五险一金、年终奖、带薪年假,"该岗位可支持异地办公。
岗位职责：
1.  针对春秋、亚航、捷星、宿务、Scoot 等 20+ 廉价航空官网／APP，7×24 小时滚动抓取运价、税费、行李额、余座等关键字段；  
2.  破解各站点反爬体系：JS 混淆、参数加密、Akamai／Cloudflare WAF、滑块／点选验证码、HTTP2 指纹、⾏为埋点；  
3.  设计⾼并发分布式爬⾍：代理池自动调度、IP 限速、账号池轮换、失败重试、降级熔断，保证 95% 以上数据完整率；  
4.  实时感知价格变动，10 分钟内触发告警并写入 Kafka，供下游运价系统⽴即使用；  
5.  维护数据质量：字段清洗、币种统一、异常价格过滤、结果与竞品交叉验证；  
6.  编写爬虫运维平台：任务启停、日志追踪、版本回滚、灰度发布、效果指标看板。  

任职要求：
1. 本科及以上学历，计算机／数学／交通相关专业；
2. 3 年以上爬虫生产经验，至少 1 个机票／酒店／航运类高反爬项目落地；  
3. 精通 Python（requests／aiohttp／httpx）或 Go（colly／rod／chromedp），熟悉 Goframe 框架优先；  
4. 能独立逆向 JS 加密（Webpack、AST、VMP、WASM），解决参数签名、Cookie 生成、TLS 指纹；  
5. 熟练 Selenium／Playwright 浏览器自动化，能写 Chrome DevTools Protocol 脚本；  
6.  掌握代理池、ADSL、IPv6、手机热点、账号池等多维度资源轮换；  
7. 熟悉 MySQL／Redis／Kafka，能写复杂 SQL 与索引优化，了解数据幂等与补偿机制。

加分项  
- 破解过 Akamai Bot Manager、Shape、PerimeterX、DataDome 等商业反爬产品 ；  
- 有廉价航空“搜索-预订-支付”完整链路自动化经验（含验证码打码平台对接）；  
- 了解海运物流、船公司运价爬虫，熟悉分布式调度框架（Celery、Elastic-Job、XXL-Job）。",叶女士,hr,刚刚活跃,https://www.zhipin.com/job_detail/b41691a8f921c912031y09u-EVVT.html,通过,通过,
Agent开发（python）,易宝软件,16-20K,杭州,余杭区,仓前,杭州余杭区阿里巴巴西溪C区(C1楼)C区,3-5年,大专,爬虫经验、PyTorch、MySQL、Selenium、Oracle、Python、AI Agent,节日福利、零食下午茶、补充医疗保险、五险一金、法定节假日三薪、节假日加班费、夜班补助、通讯补贴、绩效奖金、定期体检、双休、加班补助、带薪年假,"业务：医疗搜索相关业务
主要职责：
1、构建支持预训练、微调、评测、生产环境等各阶段的大模型数据体系，包括数据采集、清洗、标注、管理与版本控制；
2、负责医疗领域⾼质量语料的挖掘与构建，如问答、多轮对话、Agent任务链等；
3、参与异构数据的统⼀⼯程链路建设，包括海量数据的存储、流转、去重、挑选等；
4、与上下游团队合作，高效完成业务研发及工作流改进；
5、按照公司相关规范要求，编写各类⽂档。


任职资格：
1、 计算机相关专业，具有良好的数据结构基础，熟悉python/C++/Java一种语言和较完备的计算机相关知识；
2、优秀的问题抽象及解决能力，具备大模型Prompt Engineering调优经验者优先。
3、有大模型应用，主流Agent开发经验优先，如：langChain/langGraph.
4、具备良好的数据库设计能力，熟悉主流数据库,包括不限于mysql,redis。
5、熟悉Git等版本控制工具，了解敏捷开发流程。
6、性格开朗，良好的沟通能力和团队合作精神，热衷技术，具备自我驱动和探索精神，负有责任心。",李宏韵,HR,刚刚活跃,https://www.zhipin.com/job_detail/63421769f373167d0ndz2Nq4FlJZ.html,通过,通过,
python 全栈工程师,拿智科技,15-20K·15薪,杭州,西湖区,西溪,杭州西湖区阿里中心·西湖3号楼6楼617室,5-10年,本科,Hive、Django、大模型开发、MySQL、Redis、Spark、架构设计经验、智能体开发、Python、Flask、HBase,股票期权、五险一金、团建聚餐、绩效奖金、交通补助、年终奖,"1、基于Python技术栈，参与AI平台或工具的系统架构设计，设计与实现大模型应用架构，兼顾性能、效果与成本，支撑从原型到上线的完整交付。
2、复杂Agent⼯作流设计、⾼级检索优化(RAG)、多⼯具协调等的开发、实现及应用。
3、既有后台系统的设计、开发与维护
	
任职要求:
1.熟悉python后端代码开发，熟悉主流框架(如FastAPI、Flask、Django等);
2.熟练掌握rag知识库的原理与应用;
3.熟练使⽤python对文档（PDF，word，markdown）进行处理
4.熟练掌握关系数据库（sqlserver、mysql或其他）的使用
5.深入理解大模型算法:对大模型算法有深入的理论认识和实践经验，能够独立完成算法的部署、设计与实现，解决技术难题。
6.卓越的团队合作与沟通:具备出色的团队合作精神和沟通协调能力，能够在快节奏、高压力的工作环境中保持积极态度，有效推动项目进度。
7.持续学习与创新能力:对新技术和新算法保持高度敏感性和好奇心，愿意不断学习新知识，勇于尝试和创新，以提升个人及团队的技术水平。
8.教育背景:本科及以上学历，计算机科学与技术、软件工程或相关领域专业毕业，具备扎实的计算机科学基础理论知识。
9.5年以上Python开发经验，至少2年及以上AI相关项目或大模型应用开发经验",杨志刚,CEO,刚刚活跃,https://www.zhipin.com/job_detail/c84fe03bd7ac0c770nZz2N26EltS.html,通过,通过,
Python测开（线上面试）,润和软件,14-19K,杭州,西湖区,西溪,杭州灯彩街1008号1,5-10年,本科,Django、MySQL、测试工具、Python、Flask,带薪年假、五险一金、节日福利、年终奖、团建聚餐、交通便利、股票期权、食堂,"岗位职责：  
1. 负责Python相关项目的开发、维护和优化工作；  
2. 参与系统架构设计、数据库设计及核心代码编写；  
3. 根据项目需求完成模块设计、编码、测试及⽂档编写；  
4. 解决开发过程中遇到的技术问题，保障系统稳定运⾏。  

任职要求：  
1. 熟悉Python语⾔，掌握常用Web开发框架如Django、Flask等；  
2. 熟悉MySQL、Redis等数据库技术，具备良好的SQL编写能力；  
3. 具备良好的沟通能⼒和团队协作意识，能适应线上面试流程。",熊女士,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/ffe5959b380d33040ndz39u8FlZV.html,通过,通过,
Agent算法工程师（可远程办公）,某知名企业,60-85K,杭州,,,杭州滨江区宝龙城(杭州滨江店)1,3-5年,本科,大模型,节日福利、带薪年假、年终奖、全勤奖,"岗位职责：

NLP 算法，智能对话领域 

任职要求：

学历与专业:硕士及以上学历，计算机科学、人工智能、机器学习、自然语⾔处 理、⾦融⼯程、数学等相关专业。 
技术能力:精通 Python 编程，熟练掌握至少⼀种主流深度学习框架(如 PyTorch、TensorFlow)，具备良好的算法实现和代码优化能力。 
理论基础与领域知识:具备扎实的机器学习/深度学习/NLP 等理论基础，熟悉主流 算法和模型(如 Transformer、BERT、GPT、CNN 等)，理解模型训练、微调、部署等 全流程。 
项目与实践经验:拥有 5 年及以上相关领域的工作经验，有大模型、NLP、智能对话等核心方向的实际落地项目经验。 
数据处理与分析:具备大规模数据的采集、清洗、标注、特征工程能力，熟练使用 常⻅数据工具(如 SQL、Pandas)，熟悉大数据处理框架(Hadoop、Spark)者优先。 
科研能力与创新意识:具有一定的科学研究与创新能力，优先考虑在知名学术会议/ 期刊上发表论文或竞赛获奖经历。
沟通与协作能力:具备良好的团队协作精神与跨部⻔沟通能力，能够快速理解业务 需求并转化为技术方案，具备独立分析和解决复杂问题的能力。 
英文能力:具备良好的英文文献阅读与技术交流能力。",唐女士,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/3f85500be89c4d9c0nZ_09y_FFNY.html,通过,通过,
Python工程师 航司API+爬虫+AI,舆途,13-18K·13薪,杭州,西湖区,西溪,杭州西湖区浙商财富中心2号楼715,3-5年,大专,,定期体检、餐补、员工旅游、团建聚餐、节日福利、带薪年假、五险一金,"【岗位职责】
-  负责航司API接入+爬虫下单，成熟框架直接上手  
-  13-18K×13薪，失败成本公司兜底，坐班不远程  
- 聪明人+AI⼯具快速落地

【⼯作内容】  
- 接全球LCC航司：官⽅API对接 + 无API就爬虫，库存→下单→出票⼀条龙  
- 用AI工具（ChatGPT/Copilot）秒拆加密逻辑，快速写进现有Python框架  
- 把踩坑写成复盘，团队共享，后人10分钟排障  

【硬性门槛】  
- Python基础扎实，能写可测试+类型注解的函数  
-  理解爬虫原理，熟悉常见的反爬虫技术，具备实际爬虫分析能力；
- 掌握http协议，熟悉html、dom、xpath、Beautifulsoup等常见的数据抽取技术；  
-  熟练掌握AST、JS逆向；
-  过去12个月自学新技术并落地，能量化节省的时间/代码行数  

【加分项】
-  用AI重构过旧代码，或写过技术博客/复盘文档  
-  读过英文API文档，能1分钟讲清报错原因  
-  有航司接口或爬虫开发经验",章伟,产品总监,2周内活跃,https://www.zhipin.com/job_detail/2c9cd8c51b79a1a7031929u0FFBW.html,通过,通过,
AI应用测试工程师（远程）,成都创元聚星科技,25-50K·16薪,杭州,上城区,望江,杭州上城区财富金融中心西楼.,3-5年,本科,Java、性能测试、Python,年终奖,"岗位职责：

--AI应用质量保障：负责LLM、RAG、Agent及多模态产品的全链路测试，建立非确定性系统的质量评估标准。
--Agent测试体系：设计Agent测试框架，覆盖意图识别、Tool Use、记忆管理、多Agent协同的自动化验证。
--AI辅助测试：利⽤LLM驱动⽤例⽣成与边界发散，构建Agent自主测试闭环，实现智能巡检。
--MCP生态测试：负责MCP服务及Skill集的接口、集成与兼容性测试，评估外部⼯具链稳定性。
--对抗安全测试：设计Prompt Injection、越权调用等攻击用例，保障数据隐私与合规。


任职要求：

--3年以上测开经验，本科及以上学历，精通Python/TypeScript/Java，能独立开发自动化测试框架。
--深入理解LLM应用架构，具备RAG、Agent工作流（LangChain/LangGraph）、向量数据库实操经验。
--熟悉接口测试、CI/CD及pytest/Playwright等工具链；熟悉Linux与性能排查。
--熟悉MCP协议或Skill封装测试优先；具备非确定性系统测试思维（幻觉率、一致性评估）。
--有Ragas/DeepEval等LLM评估工具落地经验；多Agent系统（AutoGen/MetaGPT）测试实践；云原生/GPU推理性能测试经验优先。",闫先生,HR,刚刚活跃,https://www.zhipin.com/job_detail/bf69a140e002c9b50ndz3NS0FlJQ.html,通过,通过,
AI Python 全栈工程师,某电子商务公司,20-25K,杭州,,,杭州拱墅区阿里云智能物联网产业基地1楼,3-5年,大专,,有无线网、全勤奖、零食下午茶、生日福利、带薪年假、节日福利、团建聚餐、节假日加班费、加班补助、餐补,"岗位职责：
1、后端与业务系统
基于 Python（FastAPI） 设计与实现业务 API：用户与认证、素材包与子项 CRUD、平台包模板、任务状态机、多平台规格配置与导出（ZIP）、订阅与额度校验与扣减。
设计并实现 PostgreSQL 数据模型（用户、素材包、子项、模板、⽤量等），保证扩展性与查询效率。
搭建与维护 Celery + Redis 异步任务队列：图像⼦任务、视频⼦任务、优先级队列、进度回写；与前端 SSE/轮询对接，展示任务进度。
2、AI 推理管线
实现图像基座：背景移除（rembg/BiRefNet 或第三方 API）、基于 diffusers 的图⽣图（Stable Diffusion / SDXL / Flux + ControlNet + LoRA），支持白底/场景/主图及基础虚拟模特（如 OpenPose + LoRA）。
对接图生视频：优先接入第三方 API（如Seedance 2.0、可灵、Runway、Sora 2  等），实现请求提交、轮询/回调、结果存储与状态回写；具备后续自建或替换能力。
将推理能力封装为可被编排调用的服务（HTTP 或内部调用），与任务队列、额度与存储打通；需使用 LangGraph 或 LangChain 实现多步 AI 流程编排（如抠图→图生图→图生视频），包括状态图/链设计、Tool 定义、与 Celery/DB 的衔接，可选结合 Dify 做对比或扩展。
3、前端或全栈能力
能够独立或主导完成 Web 前端开发（React 或 Vue3 + TypeScript），实现工作台、创建素材包（步骤式）、任务列表与进度、预览与单张重试、分阶段视频配置、加项入口、多平台导出与下载等核心页面；或能够与外包/合作前端高效联调，完成 API 契约、鉴权、SSE/轮询进度等接口设计与文档。
4、工程与交付
编写清晰的技术方案与接口文档，参与 MVP / V1.1 / V1.2 分阶段规划，在成本与进度约束下优先保证主路径可用的交付质量。
负责或参与部署与运维：Docker 镜像、API 与 Worker 部署、GPU 推理节点或云 GPU 使用、对象存储（S3 兼容）与基础监控（任务成功率、队列延迟、API 延迟等）。

任职要求：
学历与经验：本科及以上，计算机/软件/人工智能等相关专业；2 年及以上后端或全栈开发经验，有独立负责过至少一个完整产品模块或服务从设计到上线的经历。
后端：熟练使用 Python，具备 FastAPI 或 Flask/Django 等 Web 框架的实战经验；熟悉 PostgreSQL 建模与查询优化、Redis 缓存与队列使用。
LangGraph / LangChain
必备：具备 LangGraph 或 LangChain 的实战经验：能用状态图/链或 Agent 编排多步 AI 流程（如抠图→图生图→图生视频），定义节点、边与 Tool，并与队列、存储、业务状态打通；理解 checkpoint、条件分支或 ReAct/Tool-calling 等能力者优先。
AI / 深度学习：了解扩散模型（Stable Diffusion、图生图）基本概念；有 PyTorch 或 diffusers 使用经验，能够基于现有模型（如 SD/SDXL、ControlNet、LoRA）进行推理封装与参数调优，或能快速上手文档与开源示例。

技术栈
后端：Python、FastAPI、Celery、Redis、PostgreSQL
AI 推理：PyTorch、diffusers、SD/SDXL/Flux、ControlNet、LoRA、rembg/BiRefNet；图生视频为第三方 API 或自建",齐先生,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/b8dd8d66f744d4300nZ83N24FVJW.html,通过,通过,
python数据分析师,杭州荣安科技有限公司,10-15K,杭州,滨江区,浦沿,杭州滨江区源越大厦507,3-5年,本科,Django、Pandas、MongoDB、架构设计经验、nebulagraph、Numpy、Python、Flask,零食下午茶、五险一金、年终奖、节日福利、团建活动、带薪年假,"岗位职责：
1、负责相关产品的数据抓取、解析、清洗和数据分析工作；
2、负责相关产品的部分后端开发工作；
岗位要求：
1、本科及以上学历，计算机、统计等相关专业；
2、熟悉python编程语言，2年以上python开发经验，熟悉常见库,如pandas,numpy,polars等；
3、熟悉fastapi web开发框架（必须）；
4、熟悉关系型和非关系型数据，如mongodb（必须）,mysql等；
5、有良好的文档写作能力，较强的团队沟通能力、表达能力及协作能力；7、熟悉网络流数据分析业务（加分项）；
8、有rpa经验或公安行业经验（加分项）；
9、熟悉图库优先，熟悉nebulagraph优先；（必须项）
10、熟悉网络数据分析；",朱女士,招聘者,本周活跃,https://www.zhipin.com/job_detail/020da9b2143e6d2003F92NS9FFRY.html,通过,通过,
